fonte;secao;curso;tipo;periodo_ano;matutino_ou_vespertino;vespertino_ou_noturno;matriz;observacao
Turmas 2026_01.docx:linha_docx_8;INTEGRADO;Alimentos;Ano;1º Ano;✅;❌;2024;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_12;INTEGRADO;Alimentos;Ano;2º Ano;✅;✅;2024;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_16;INTEGRADO;Alimentos;Ano;3º Ano;✅;✅;2024;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_20;INTEGRADO;Alimentos;Ano;4º Ano;✅;❌;2012;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_29;INTEGRADO;Apicultura;Ano;1º Ano;✅;✅;2024;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_33;INTEGRADO;Apicultura;Ano;2º Ano;✅;✅;2024;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_37;INTEGRADO;Apicultura;Ano;3º Ano;✅;❌;2024;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_41;INTEGRADO;Apicultura;Ano;4º Ano;✅;✅;2012;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_50;INTEGRADO;Informática;Ano;1º Ano;✅;✅;2024;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_54;INTEGRADO;Informática;Ano;2º Ano;✅;❌;2024;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_58;INTEGRADO;Informática;Ano;3º Ano;✅;✅;2024;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_62;INTEGRADO;Informática;Ano;4º Ano;✅;✅;2012;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_71;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;1º;✅;❌;2º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_77;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;3º;✅;❌;4º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_83;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;5º;✅;❌;6º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_89;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;7º;✅;❌;Agroindústria;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_96;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;1º;✅;❌;2º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_102;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;3º;❌;✅;4º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_108;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;5º;✅;❌;6º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_114;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;7º;❌;✅;Licenciatura em Química;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_121;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;1º;❌;✅;2º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_127;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;3º;❌;✅;4º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_133;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;5º;✅;❌;6º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
Turmas 2026_01.docx:linha_docx_139;SUPERIOR;Análise e Desenvolvimento de Sistemas;Semestre;7º;❌;✅;8º;"Documento de turmas é 2026.01; usar apenas como referência contra o PDF 2026.02."
